ID,SideA,SideB,Version
1,Hollywood,Well,Codenames
2,Screen,Fair,Codenames
3,Play,Tooth,Codenames
4,Marble,Staff,Codenames
5,Dinosaur,Bill,Codenames
6,Cat,Shot,Codenames
7,Pitch,King,Codenames
8,Bond,Pan,Codenames
9,Greece,Square,Codenames
10,Deck,Buffalo,Codenames
11,Spike,Scientist,Codenames
12,Center,Chick,Codenames
13,Vacuum,Atlantis,Codenames
14,Unicorn,Spy,Codenames
15,Undertaker,Mail,Codenames
16,Sock,Nut,Codenames
17,Loch Ness,Log,Codenames
18,Horse,Pirate,Codenames
19,Berlin,Face,Codenames
20,Platypus,Stick,Codenames
21,Port,Disease,Codenames
22,Chest,Yard,Codenames
23,Box,Mount,Codenames
24,Compound,Slug,Codenames
25,Ship,Dice,Codenames
26,Watch,Lead,Codenames
27,Space,Hook,Codenames
28,Flute,Carrot,Codenames
29,Tower,Poison,Codenames
30,Death,Stock,Codenames
31,Foot,New York,Codenames
32,Torch,State,Codenames
33,Arm,Bermuda,Codenames
34,Figure,Park,Codenames
35,Mine,Turkey,Codenames
36,Suit,Chocolate,Codenames
37,Crane,Trip,Codenames
38,Beijing,Racket,Codenames
39,Mass,Bat,Codenames
40,Microscope,Jet,Codenames
41,Engine,Shakespeare,Codenames
42,China,Bolt,Codenames
43,Straw,Switch,Codenames
44,Pants,Wall,Codenames
45,Europe,Soul,Codenames
46,Boot,Ghost,Codenames
47,Princess,Time,Codenames
48,Link,Dance,Codenames
49,Luck,Amazon,Codenames
50,Olive,Grace,Codenames
51,Palm,Moscow,Codenames
52,Teacher,Pumpkin,Codenames
53,Thumb,Antarctica,Codenames
54,Octopus,Whip,Codenames
55,Hood,Heart,Codenames
56,Tie,Table,Codenames
57,Doctor,Ball,Codenames
58,Wake,Fighter,Codenames
59,Cricket,Cold,Codenames
60,Millionaire,Day,Codenames
61,Spring,Court,Codenames
62,Match,Iron,Codenames
63,Diamond,Whale,Codenames
64,Centaur,Shadow,Codenames
65,March,Contract,Codenames
66,Roulette,Mercury,Codenames
67,Dog,Conductor,Codenames
68,Cross,Seal,Codenames
69,Wave,Car,Codenames
70,Duck,Ring,Codenames
71,Wind,Kid,Codenames
72,Spot,Piano,Codenames
73,Skyscraper,Laser,Codenames
74,Paper,Sound,Codenames
75,Apple,Pole,Codenames
76,Oil,Superhero,Codenames
77,Cook,Revolution,Codenames
78,Fly,Pit,Codenames
79,Cast,Gas,Codenames
80,Bear,Glass,Codenames
81,Pin,Washington,Codenames
82,Thief,Bark,Codenames
83,Trunk,Snow,Codenames
84,America,Ivory,Codenames
85,Novel,Pipe,Codenames
86,Cell,Cover,Codenames
87,Bow,Degree,Codenames
88,Model,Tokyo,Codenames
89,Knife,Church,Codenames
90,Knight,Pie,Codenames
91,Tube,Point,Codenames
92,Block,France,Codenames
93,Comic,Mammoth,Codenames
94,Fish,Cotton,Codenames
95,Bridge,Robin,Codenames
96,Moon,Net,Codenames
97,Part,Bugle,Codenames
98,Aztec,Maple,Codenames
99,Smuggler,England,Codenames
100,Train,Field,Codenames
